site_code,site_name,collection_year,elevation,latitude,longitude,Aridity,Light,plot,block,treatment_name,N,P,Kµ,Rootsgperm2,rootmassfraction
cdpt.us,Cedar Point Biological Station,2011,965,41.2,-101.63,0.4028,0.805604993,26,3,Control,0,0,0,1371.771475,0.811748823
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,11,2,P,0,1,0,3489.992019,0.714372973
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,22,3,NK,1,0,1,1065.538187,0.489939065
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,27,3,PK,0,1,1,1832.093815,0.574883859
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,16,2,NP,1,1,0,2078.359606,0.630999179
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,7,1,PK,0,1,1,1066.409855,0.545587065
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,20,2,N,1,0,0,1005.31354,0.560402448
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,30,3,P,0,1,0,1333.936224,0.556192335
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,5,1,P,0,1,0,1394.49582,0.578918233
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,21,3,N,1,0,0,1500.951078,0.576147422
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,4,1,K,0,0,1,1590.488942,0.631525085
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,2,1,N,1,0,0,925.9627688,0.431309715
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,10,2,Control,0,0,0,1240.453383,0.681173542
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,25,3,Control,0,0,0,2086.358372,0.70428966
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,13,2,NK,1,0,1,2249.953108,0.651055771
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,15,2,PK,0,1,1,1987.906101,0.751796957
cowi.ca,Cowichan,2011,50,48.46,-123.38,1.0491,0.074019107,19,2,NPK,1,1,1,1590.339489,0.549978479
